metabolite,state,time_point,qs,std_err,err_perc,ub,lb
Isoleucine,HP_MO,4,-0.014832567364042041,0.001569570395767526,-0.1058191988780424,-0.013262996968274515,-0.016402137759809567
Isoleucine,HP_MO,24,-0.004755545551713914,4.0769074350850205e-4,-0.08572954229437861,-0.004347854808205412,-0.005163236295222416
Isoleucine,HP_MO,48,-0.0019015044793727976,1.1295165564539499e-4,-0.059401204083753496,-0.0017885528237274026,-0.0020144561350181923
Isoleucine,HP_MO,72,-8.883590744111152e-4,5.605972314635643e-5,-0.06310480160684787,-8.322993512647588e-4,-9.444187975574716e-4
Isoleucine,LP_TR,4,-0.007878230963618775,0.0010526427629170324,-0.133614102934793,-0.006825588200701742,-0.008930873726535808
Isoleucine,LP_TR,24,-0.0037530631574816575,4.8192923058419293e-4,-0.1284095711588217,-0.0032711339268974645,-0.00423499238806585
Isoleucine,LP_TR,48,-0.0019869391234149246,1.8930122327647726e-4,-0.09527278467954664,-0.0017976379001384474,-0.002176240346691402
Isoleucine,LP_TR,72,-0.0011878518215996546,1.0070118033139502e-4,-0.08477587734451836,-0.0010871506412682597,-0.0012885530019310495
Isoleucine,LP_MO,4,-0.007559515059916846,0.001913227239529297,-0.25308862068069515,-0.005646287820387549,-0.009472742299446143
Isoleucine,LP_MO,24,-0.0035958826922000745,6.548906301812399e-4,-0.18212235666135068,-0.0029409920620188344,-0.004250773322381315
Isoleucine,LP_MO,48,-0.0020324376933728754,2.0397472211297315e-4,-0.10035964338688906,-0.0018284629712599022,-0.0022364124154858485
Isoleucine,LP_MO,72,-0.0012270776502720216,1.3251619562710282e-4,-0.1079933251149398,-0.0010945614546449187,-0.0013595938458991245
Leucine,HP_TR,4,-0.014273389362730015,0.0014451898534857653,-0.10125064319056377,-0.01282819950924425,-0.01571857921621578
Leucine,HP_TR,24,-0.006177593518946951,6.368234258835693e-4,-0.10308600330054153,-0.005540770093063381,-0.0068144169448305205
Leucine,HP_TR,48,-0.003052057028260396,2.1464195835749789e-4,-0.07032698156359123,-0.0028374150699028984,-0.003266698986617894
Leucine,HP_TR,72,-0.001697663475678846,1.0800004847376189e-4,-0.0636168769729677,-0.001589663427205084,-0.001805663524152608
Leucine,HP_MO,4,-0.02098669920446686,0.002224107215678864,-0.10597699018840845,-0.018762591988787998,-0.023210806420145724
Leucine,HP_MO,24,-0.006519697311880768,5.578165321148996e-4,-0.08555865486245766,-0.005961880779765868,-0.007077513843995668
Leucine,HP_MO,48,-0.002510056947389254,1.5102881164447357e-4,-0.06016947615533615,-0.0023590281357447804,-0.0026610857590337275
Leucine,HP_MO,72,-0.0011291038790132947,7.497646195988545e-5,-0.06640351109714204,-0.0010541274170534091,-0.0012040803409731802
Leucine,LP_TR,4,-0.012120948514165283,0.0016416312824905149,-0.13543752624408922,-0.010479317231674768,-0.013762579796655797
